time [s],long accel [g],lat accel [g],vector accel [g],vert accel [g],speed [mph],distance [ft],gear [-],position X [m],position Y [m],TPS [%],Steering Position [Deg],Oil Press [PSI],Brake [V],GPS altitude [m],GPS time [s],GPS alt acc [-],GPS vel raw [mph],GPS long [degs],GPS lat [degs]
53.13,-0.129550636,-1.41E-02,0.178155601,1.034250617,0.444972098,230.1411896,1,44.24730301,-22.89841843,-2.134832144,-8.360635757,21.86250305,13.75300121,85.65799713,63602.561,3.683000088,0.894774556,-117.7296273,33.6664525
53.14,-0.128980979,-1.47E-02,0.179295868,1.033045769,0.428372204,230.1475983,1,44.24814606,-22.89841843,-2.202247143,-7.70490694,21.86250305,13.77000046,85.65799713,63602.571,3.683000088,0.894774556,-117.7296273,33.6664525
53.15,-0.128280863,-1.54E-02,0.182538167,1.031651378,0.422055215,230.1538544,1,44.24898911,-22.89841843,-2.134832144,-7.70490694,21.75,13.75000095,85.63300323,63602.581,3.683000088,0.894774556,-117.7296273,33.6664525
53.16,-0.127468452,-1.61E-02,0.180460513,1.030095935,0.466295809,230.1603546,1,44.24991608,-22.89841843,-2.134832144,-7.70490694,21.86250305,13.75600052,85.63300323,63602.591,3.683000088,0.156585544,-117.7296273,33.6664525
53.17,-0.126563251,-1.68E-02,0.180291146,1.02841115,0.423716784,230.1668854,1,44.25084305,-22.89841843,-2.134832144,-7.70490694,21.75,13.72200108,85.63300323,63602.601,3.683000088,0.156585544,-117.7296273,33.6664525
53.18,-0.125585586,-1.75E-02,0.183736637,1.026631474,0.387993038,230.1728516,1,44.25177002,-22.89841843,-2.134832144,-7.70490694,21.75,13.77000046,85.63300323,63602.611,3.683000088,0.156585544,-117.7296273,33.6664525
53.19,-0.124555886,-1.81E-02,0.179545954,1.02479291,0.430247933,230.178833,1,44.25269699,-22.89841843,-2.202247143,-7.70490694,21.86250305,13.75000095,85.63300323,63602.621,3.683000088,0.156585544,-117.7296273,33.6664525
53.2,-0.123494096,-1.87E-02,0.181630924,1.022932291,0.421945244,230.1851044,1,44.25362015,-22.89841843,-2.134832144,-7.70490694,21.86250305,13.71200085,85.63300323,63602.631,3.683000088,0.156585544,-117.7296273,33.6664525
53.21,-0.122419164,-0.019212794,0.185674459,1.021086216,0.410214931,230.1911774,1,44.25454712,-22.89841843,-2.134832144,-7.70490694,21.75,13.72200108,85.63300323,63602.641,3.683000088,0.156585544,-117.7296272,33.6664525
53.22,-0.121348567,-1.97E-02,0.182151183,1.019290328,0.453326732,230.1975098,1,44.25547409,-22.89841843,-2.134832144,-7.70490694,21.75,13.66400051,85.63300323,63602.651,3.683000088,0.156585544,-117.7296272,33.6664525
53.23,-0.120297931,-2.00E-02,0.181739554,1.017578244,0.419316798,230.2039185,1,44.25640106,-22.89841843,-2.202247143,-7.70490694,21.75,13.76700115,85.63300323,63602.661,3.683000088,0.156585544,-117.7296272,33.6664525
53.24,-0.1192808,-2.03E-02,0.178281695,1.015980721,0.382736146,230.2098083,1,44.25732803,-22.89841843,-2.134832144,-7.70490694,21.86250305,13.72200108,85.63300323,63602.671,3.683000088,0.156585544,-117.7296272,33.6664525
53.25,-0.11830847,-2.06E-02,0.173327133,1.014525294,0.429275572,230.215744,1,44.258255,-22.89841843,-2.134832144,-7.70490694,21.86250305,13.72200108,85.61299896,63602.681,3.683000088,0.156585544,-117.7296272,33.6664525
